order_date,Classic Cars,Motorcycles,Planes,Ships,Trains,Trucks and Buses,Vintage Cars
2003-01-01,10.0,,,,2.0,11.0,16.0
2003-02-01,3.0,8.0,12.0,9.0,1.0,,8.0
2003-03-01,26.0,5.0,,,,3.0,16.0
2003-04-01,12.0,6.0,12.0,9.0,3.0,8.0,8.0
2003-05-01,28.0,7.0,,,,7.0,16.0
2003-06-01,10.0,1.0,11.0,9.0,3.0,4.0,8.0
2003-07-01,22.0,12.0,,,,7.0,9.0
2003-08-01,10.0,12.0,12.0,9.0,3.0,4.0,8.0
2003-09-01,37.0,1.0,,6.0,3.0,11.0,18.0
2003-10-01,62.0,19.0,20.0,12.0,3.0,11.0,31.0
2003-11-01,114.0,31.0,16.0,27.0,9.0,33.0,66.0
2003-12-01,32.0,7.0,2.0,,1.0,11.0,17.0
2004-01-01,30.0,13.0,12.0,9.0,2.0,1.0,24.0
2004-02-01,32.0,13.0,12.0,9.0,3.0,9.0,8.0
2004-03-01,16.0,,,7.0,3.0,11.0,19.0
2004-04-01,25.0,13.0,9.0,,,,17.0
2004-05-01,17.0,13.0,12.0,9.0,3.0,11.0,9.0
2004-06-01,24.0,13.0,12.0,8.0,,11.0,17.0
2004-07-01,36.0,7.0,12.0,9.0,3.0,11.0,13.0
2004-08-01,55.0,19.0,12.0,9.0,3.0,11.0,24.0
2004-09-01,23.0,13.0,12.0,9.0,3.0,11.0,24.0
2004-10-01,50.0,13.0,12.0,15.0,6.0,22.0,41.0
2004-11-01,105.0,39.0,36.0,21.0,6.0,29.0,65.0
2004-12-01,29.0,8.0,20.0,10.0,5.0,15.0,23.0
2005-01-01,38.0,11.0,5.0,9.0,3.0,11.0,22.0
2005-02-01,38.0,13.0,7.0,3.0,3.0,11.0,22.0
2005-03-01,24.0,13.0,24.0,15.0,3.0,5.0,22.0
2005-04-01,18.0,13.0,12.0,2.0,,,11.0
2005-05-01,41.0,8.0,12.0,9.0,3.0,22.0,25.0
